YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_TIME_BLK,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_TIME_BLK,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DISTANCE_GROUP
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,271,11697,FLL,"Fort Lauderdale, FL",FL,14122,PIT,"Pittsburgh, PA",PA,720,,,,,0700-0759,958,,,,,0900-0959,1.0,0.0,158.0,,,994.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,272,14122,PIT,"Pittsburgh, PA",PA,11697,FLL,"Fort Lauderdale, FL",FL,1053,,,,,1000-1059,1355,,,,,1300-1359,1.0,0.0,182.0,,,994.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,273,11697,FLL,"Fort Lauderdale, FL",FL,11042,CLE,"Cleveland, OH",OH,748,,,,,0700-0759,1037,,,,,1000-1059,1.0,0.0,169.0,,,1062.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,274,11042,CLE,"Cleveland, OH",OH,11697,FLL,"Fort Lauderdale, FL",FL,1143,,,,,1100-1159,1444,,,,,1400-1459,1.0,0.0,181.0,,,1062.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,2858,11697,FLL,"Fort Lauderdale, FL",FL,12953,LGA,"New York, NY",NY,1935,,,,,1900-1959,2231,,,,,2200-2259,1.0,0.0,176.0,,,1076.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,310,10721,BOS,"Boston, MA",MA,14843,SJU,"San Juan, PR",PR,1934,,,,,1900-1959,41,,,,,0001-0559,1.0,0.0,247.0,,,1674.0,7
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,320,13204,MCO,"Orlando, FL",FL,14100,PHL,"Philadelphia, PA",PA,2123,,,,,2100-2159,2356,,,,,2300-2359,1.0,0.0,153.0,,,862.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,340,11697,FLL,"Fort Lauderdale, FL",FL,12953,LGA,"New York, NY",NY,2045,,,,,2000-2059,2337,,,,,2300-2359,1.0,0.0,172.0,,,1076.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,363,11697,FLL,"Fort Lauderdale, FL",FL,10721,BOS,"Boston, MA",MA,2045,,,,,2000-2059,2357,,,,,2300-2359,1.0,0.0,192.0,,,1237.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,370,10821,BWI,"Baltimore, MD",MD,11697,FLL,"Fort Lauderdale, FL",FL,630,,,,,0600-0659,912,,,,,0900-0959,1.0,0.0,162.0,,,925.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,372,12266,IAH,"Houston, TX",TX,11697,FLL,"Fort Lauderdale, FL",FL,554,,,,,0001-0559,920,,,,,0900-0959,1.0,0.0,146.0,,,966.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,380,12953,LGA,"New York, NY",NY,11697,FLL,"Fort Lauderdale, FL",FL,750,,,,,0700-0759,1103,,,,,1100-1159,1.0,0.0,193.0,,,1076.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,383,11697,FLL,"Fort Lauderdale, FL",FL,13495,MSY,"New Orleans, LA",LA,2259,,,,,2200-2259,2359,,,,,2300-2359,1.0,0.0,120.0,,,673.0,3
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,393,11433,DTW,"Detroit, MI",MI,12953,LGA,"New York, NY",NY,2128,,,,,2100-2159,2323,,,,,2300-2359,1.0,0.0,115.0,,,502.0,3
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,395,13204,MCO,"Orlando, FL",FL,14683,SAT,"San Antonio, TX",TX,941,,,,,0900-0959,1150,,,,,1100-1159,1.0,0.0,189.0,,,1041.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,396,14683,SAT,"San Antonio, TX",TX,13204,MCO,"Orlando, FL",FL,1245,,,,,1200-1259,1623,,,,,1600-1659,1.0,0.0,158.0,,,1041.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,403,12266,IAH,"Houston, TX",TX,12953,LGA,"New York, NY",NY,1820,,,,,1800-1859,2243,,,,,2200-2259,1.0,0.0,203.0,,,1416.0,6
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,466,11697,FLL,"Fort Lauderdale, FL",FL,13204,MCO,"Orlando, FL",FL,640,,,,,0600-0659,745,,,,,0700-0759,1.0,0.0,65.0,,,177.0,1
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,474,11697,FLL,"Fort Lauderdale, FL",FL,11433,DTW,"Detroit, MI",MI,2055,,,,,2000-2059,2359,,,,,2300-2359,1.0,0.0,184.0,,,1127.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,602,13204,MCO,"Orlando, FL",FL,11618,EWR,"Newark, NJ",NJ,1443,,,,,1400-1459,1727,,,,,1700-1759,1.0,0.0,164.0,,,937.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,605,11618,EWR,"Newark, NJ",NJ,12892,LAX,"Los Angeles, CA",CA,1700,,,,,1700-1759,2014,,,,,2000-2059,1.0,0.0,374.0,,,2454.0,10
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,606,12892,LAX,"Los Angeles, CA",CA,11618,EWR,"Newark, NJ",NJ,2059,,,,,2000-2059,520,,,,,0001-0559,1.0,0.0,321.0,,,2454.0,10
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,757,13930,ORD,"Chicago, IL",IL,13303,MIA,"Miami, FL",FL,1805,,,,,1800-1859,2221,,,,,2200-2259,1.0,0.0,196.0,,,1197.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,809,11697,FLL,"Fort Lauderdale, FL",FL,10821,BWI,"Baltimore, MD",MD,2110,,,,,2100-2159,2346,,,,,2300-2359,1.0,0.0,156.0,,,925.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,888,13204,MCO,"Orlando, FL",FL,12339,IND,"Indianapolis, IN",IN,2010,,,,,2000-2059,2243,,,,,2200-2259,1.0,0.0,153.0,,,829.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,890,13204,MCO,"Orlando, FL",FL,10721,BOS,"Boston, MA",MA,700,,,,,0700-0759,1001,,,,,1000-1059,1.0,0.0,181.0,,,1121.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,891,10721,BOS,"Boston, MA",MA,13204,MCO,"Orlando, FL",FL,1056,,,,,1000-1059,1413,,,,,1400-1459,1.0,0.0,197.0,,,1121.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,913,11697,FLL,"Fort Lauderdale, FL",FL,13577,MYR,"Myrtle Beach, SC",SC,1625,,,,,1600-1659,1808,,,,,1800-1859,1.0,0.0,103.0,,,529.0,3
